Year Ended December 31(In millions except per share data),Net operating revenues($),Operating income,Net income attributable to shareowners of the Coca-Cola Company,Basic net income($),Diluted net income,Cash dividends,Total assets($),Long term debt
2009,30990,8187,6797,1.47,1.46,0.82,48671,5059
2010,35119,8413,11787,2.55,2.53,0.88,72921,14041
2011,46542,10173,8584,1.88,1.85,0.94,79974,13656
2012,48017,10779,9019,2,1.97,1.02,86174,14736
2013,46854,10228,8584,1.94,1.9,1.12,90055,19154
2014,45998,9325,7098,1.62,1.6,1.22,91968,19010
2015,44294,9605,7351,1.69,1.67,1.32,89996,28311
2016,41863,8136,6527,1.51,1.49,1.4,87270,29684
2017,36212,1283,1248,0.29,0.29,1.48,87896,31202
2018,34300,6476,6434,1.51,1.5,1.56,83216,25376
2019,37266,8985,8920,2.09,2.07,1.6,86381,27516
